RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
ABHD12,ABL2,ABCC5,ACTR2,ACTR3,AGPAT5,ADAM28,ABCA6,ADA2,ACTN4,ABI3,AGPAT5,ABCG1,ABHD3,ABCB9,ACP1,ABHD3,ABHD12,AGPAT1,ABHD17A,ABL2,ADAMTS1,ABLIM3,ACTN4,ACTN1,ADIPOR1,ABHD11,ACER3,ACLY,ABLIM3,ACOT11,AGPAT5,ABLIM1,ADIPOR2,ADIPOR2,ADIPOR2,ADIRF,ADIRF,ACTR2,AGPAT5,ABHD3,ABHD17A,ABCD4,ACRBP,ABCB1,ACRBP,ACTN1,ABLIM3,ACRBP,ADAM28,ABI2,ACTN1,ACTN4,ABLIM3,AGTRAP,ABLIM3,ABHD5,ADIPOR1,AGPAT1,ADSL,ADIPOR1,ACRBP,ADIPOR1,ACTR2,ABHD17A,AGPAT5,AGPAT5,AHSA2P,ACRBP,ACLY,AGPAT5,ABHD11,ACTR2,ADIPOR2,AFAP1L2,AGPAT1,AGPAT1,ACRBP,ABLIM3,ABCA4,ACRBP,ABCA3,ACTN1,ABHD12,ABL2,ACTN4,ACLY,ABHD4,ABCG1,ABHD3,ABLIM1,ABHD11,ABLIM3,ABCA8,ABLIM3,ABHD12,ABCG1,ABL2,ACAP2,ACLY,ABL2,ABHD17A,ACLY,ABHD17A,ACRBP,ABHD17A,ACTN1,ACTN1,ADIPOR2,ACAP2,ABHD3,ADGRE2,ABLIM1,AGPAT5,ABI3,ADH1B,ADD3,ABCB9,ABCB10,ADIRF,ACTN1,ABCC5,ABI3,ABLIM3,ABHD5,ADAM28,ADPGK,ABI3,ABHD5,AGR2,ABCC5,ACLY,ABHD17A,ADIRF,ADAMTS1,ADGRL4,ACTN1,ADIPOR1,AGTRAP,ABHD17A,ACSM2B,ADAMTS1,ADIRF,ABCC3,ADIPOR2,ACAA2,ACTN1,ABCA8,ADAMTS9,AASS,ACTR2,ADA2,ADIPOR1,ACTN1,ABI3,ACTN4,ABHD15,ACTN4,ACTR3,AGPAT1,ABRAXAS2,ADAMTS9,AGTRAP,ABHD17B,ABLIM3,ABHD12,ABLIM1,ACTR3,ABCC13,ADIPOR1,ABI3,AKNA,AKAP13,ADIPOR2
ABHD17A,ABLIM1,ABCG1,ACTR3,ADAM28,AGTRAP,ADAMTS1,ABCB1,ADGRG6,ACTR2,ABL2,AKAP13,ABHD11,ABHD5,ABCC10,ACRBP,ABHD5,ABHD17A,AGPAT5,ABHD5,ABLIM1,ADD3,ACAP2,ACTR2,ACTN4,ADIPOR2,ABHD12,ACLY,ACP2,ACAP2,ACP2,AKAP13,ABLIM3,AGPAT1,ADIRF,ADIRF,AGPAT1,AFAP1L2,ACTR3,AHSP,ABHD5,ABHD3,ABHD11,ACTN1,ABCB10,ACTN1,ACTN4,ABO,ACSL4,ADAMTS1,ABLIM1,ACTN4,ACTR2,ACAP1,AHSP,ACAP2,ABL2,ADIRF,AGPAT5,AGPAT1,AGTRAP,ACTN1,ADIPOR2,ACTR3,ABHD3,AHSP,AKAP13,AHSP,ACTN1,ACRBP,AKAP13,ABHD12,ACTR3,ADSL,AGPAT1,AGPAT5,AHSP,ACTN1,ACAP2,ABCA5,ACTN1,ABCA7,ACTN4,ABHD17A,ABLIM1,ACTR2,ACP2,ABHD5,ABHD11,ABI3,ABLIM3,ABHD12,ACAP2,ABCA9,ACAP2,ABHD14B,ABHD11,ABLIM1,ACP2,ACRBP,ABLIM1,ABHD3,ACOT11,ABHD3,ACSL4,ABHD3,ACTN4,ACTN4,AFAP1L2,ACRBP,ABHD5,ADIPOR1,ABLIM3,AHSP,ABL2,ADIPOR1,ADGRG6,ABCC13,ABCB9,AGPAT1,ACTN4,ABCD4,ABL2,ACAP2,ABHD6,ADD3,AGPAT5,ABL1,ABI3,AKAP13,ABCD3,ACOT11,ABHD3,AFDN,ADIPOR1,ADIPOR1,ACTN4,AGPAT5,AKAP13,ABHD3,ACTN1,ADD3,AFAP1L2,ABCC4,AGPAT5,ACAP2,ACTN4,ABCB1,ADGRG6,ABCA1,ACTR3,ADAM28,AGK,ACTN4,ABLIM1,ACTR2,ABHD17A,ACTR2,ADIPOR1,AGPAT5,ACAA1,ADIPOR1,AHSP,ABHD3,ACP1,ABHD5,ABLIM3,ADA2,ABCC3,AGPAT5,ABL2,AKR7A2,AKIRIN2,ADSL
ABHD3,ABLIM3,ABCG2,ADAM28,ADAMTS9,AHSP,ADAMTS9,ABCB10,ADGRL4,ACTR3,ABLIM1,AKIRIN2,ABHD12,ABHD6,ABCC3,ACSL4,ABI3,ABHD3,AKIRIN2,ABI3,ABLIM3,ADGRL4,ACP1,ACTR3,ACTR2,ADIRF,ABHD13,ACOT2,ACRBP,ACRBP,ACRBP,AKIRIN1,ABTB1,AGPAT5,AGPAT1,AGPAT1,AGPAT5,AGPAT1,ADAM28,AKAP13,ABHD6,ABI3,ABHD12,ACTN4,ABCB4,ACTN4,ACTR2,ACAP2,ACSM2B,ADD3,ABLIM3,ACTR2,ACTR3,ACAP2,AKAP13,ACLY,ABLIM1,ADSL,AKAP13,AGPAT5,AHSP,ACTN4,AGPAT1,ACVR2A,ABHD5,AKAP13,AKIRIN2,AKAP13,ACTN4,ACTN1,AKIRIN1,ABHD17A,ADAM28,AGPAT1,AGPAT5,AGR2,AKAP13,ACTN4,ACLY,ABCA7,ACTN4,ABCB7,ACTR2,ABHD3,ABLIM3,ACTR3,ACRBP,ABI2,ABHD12,ABL2,ACAA2,ABHD14B,ACCS,ABCB8,ACLY,ABHD17A,ABHD12,ABLIM3,ACRBP,ACTC1,ABLIM3,ABI3,ACRBP,ABHD4,ACTN1,ABI3,ACTR2,ACTR2,AGPAT1,ACSL4,ABI3,ADM,ACAP2,AKAP13,ABLIM1,AGBL5,ADIPOR1,ABCC3,ABCC10,AGPAT5,ACTR2,ABCE1,ABLIM1,ACLY,ABI3,ADGRE2,AGTRAP,ABLIM1,ABL2,AKIRIN2,ABHD10,ACRBP,ABHD5,AGPAT1,ADIPOR2,AGPAT1,ACTR2,AHR,AKNA,ABI3,ACTN4,ADIPOR1,AGPAT1,ABCC5,AKIRIN2,ACRBP,ACTR2,ABCB9,ADIPOR1,ABCA10,ADAM28,ADAMTS1,AGTRAP,ACTR2,ABLIM3,ACTR3,ABHD3,ACTR3,ADSL,AGTRAP,ACAA2,AGPAT5,AK4,ABHD5,ACRBP,ABI3,ACAA2,ADAM28,ABCC4,AKAP13,ABLIM1,ALDH1A3,AKNA,AGPAT1
ABHD5,ABTB1,ABHD11,ADD3,ADD3,AKAP13,ADGRL4,ABCC11,ADIPOR1,ACYP1,ABLIM3,AKNA,ABHD17A,ABI3,ABCC4,ACSM2B,ABI3BP,ABHD5,AKR1C1,ABL2,ABO,ADIPOR1,ACRBP,ACYP1,ACTR3,AGPAT1,ABHD17A,ACRBP,ACSL4,ACTN1,ACSL4,AKIRIN2,ACADSB,AGR2,AGPAT5,AGPAT5,AGTRAP,AGPAT5,ADD3,AKNA,ABL2,ABL2,ABHD17A,ACTR2,ABCB9,ACTR2,ACTR3,ACLY,ACTN1,ADGRG6,ACAP2,ACTR3,ADD3,ACLY,AKNA,ACRBP,ABLIM3,AGTRAP,AKNA,AGTRAP,AKAP13,ACTR2,AGPAT5,ADD3,ABI3,AKNA,AKNA,AKIRIN1,ACTR2,ACTN4,AKNA,ABHD5,ADAMTS1,AGPAT5,AGTRAP,AGTRAP,AKNA,ACTR2,ACRBP,ABCB1,ACTR2,ABCB9,ACTR3,ABHD5,ACAP2,ACVR2A,ACSM2B,ABI3,ABHD17A,ABLIM1,ACAP2,ABHD17A,ACD,ABCB9,ACRBP,ABHD3,ABHD17A,ACAP2,ACTN1,ACTN1,ACACA,ABL2,ACSF3,ABI3BP,ACTN4,ABL2,ACTR3,ACTR3,AGPAT5,ACSM2B,ABI3BP,AGTPBP1,ACLY,AKNA,ABLIM3,AGPAT1,ADIRF,ABCC4,ABCC3,AGTRAP,ACTR3,ABCG1,ABLIM3,ACRBP,ABL2,ADGRG6,AHSP,ABLIM3,ABLIM1,AKNA,ABHD11,ACTN1,ABHD6,AHI1,AFAP1L2,AGPAT5,ACTR3,AKAP13,AMFR,ABL2,ACTR2,AGPAT5,AGPAT5,ABCD1,ALDH1A3,ACSM2A,ACTR3,ABCC13,AGPAT5,ABCA12,ADAMTS1,ADD3,AHNAK2,ACTR3,ABRAXAS2,ACYP1,ABI3,ADAM10,AGPAT1,AHR,ACACB,AHSP,AKAP12,ABL2,ACTN1,ABL2,ACAP2,ADAMTS1,ABCC5,AKNA,ABLIM3,AMY2B,AKR7A2,AGPAT5
ABI3,ACAP2,ABHD12,ADGRL4,ADGRL4,AKIRIN2,ADIPOR1,ABCC13,AGTRAP,ADA2,ACAA2,AKR1C2,ABHD3,ABL2,ABCC5,ACTN1,ABL2,ABI3,ANKRD28,ABLIM1,ACAP2,AGPAT5,ACSL1,ADA2,ADAMTS1,AGPAT5,ABHD3,ACTN1,ACTN1,ACTN4,ACTN1,ALDH1A3,ACAP2,AKIRIN1,AKIRIN2,AHR,AKAP13,AKR7A2,ADGRG6,ALAS2,ABLIM1,ABLIM1,ABHD4,ACTR3,ABCC13,ACTR3,ADAM28,ACOT11,ACTN4,ADGRL4,ACCS,ADA2,ADIPOR1,ACOT11,ANK1,ACTN1,ABO,AHSA2P,AKR7A2,AKAP13,AKNA,ACTR3,AGTRAP,ADIPOR1,ABL2,ALDH1A3,ALAS2,AKNA,ACTR3,ACTR2,ALDH1A3,ABI3BP,ADD3,AGTRAP,AHSP,AHSP,ALAS2,ACTR3,ACSL4,ABCB10,ACTR3,ABCC3,ACYP1,ABHD6,ACCS,ADAM28,ACTC1,ABL2,ABHD3,ABLIM3,ACER3,ABHD18,ACLY,ABCC1,ACSF3,ABHD5,ABHD3,ACD,ACTN4,ACTN4,ACAP1,ABLIM1,ACSL4,ABL2,ACTR2,ABLIM1,ACVR2A,ADAM28,AGR2,ACTN1,ABL2,AGTRAP,ACP1,AKR7A2,ACADM,AGPAT5,AFAP1L2,ABCC5,ABCC4,AKAP13,ADAM28,ABCG2,ACADM,ACSM2B,ABLIM1,ADH1B,AKAP13,ACAA2,ABLIM3,AKR7A2,ABHD12,ACTN4,ABI3,AKAP13,AGPAT1,AGTRAP,ACTR3B,AKNA,ANK1,ABLIM3,ACTR3,AGTRAP,AKAP13,ABCD4,ANKRD28,ACSM2B,ADAM15,ABCC3,AGTPBP1,ABCA2,ADD3,ADGRG6,AHSP,ACYP1,ACAP1,ADA2,ABL2,ADAM28,AGTRAP,AHSA2P,ACADVL,AKAP13,AKAP13,ABLIM1,ACTN4,ABLIM1,ACLY,ADD3,ABCG1,ALDH1A3,ACAP2,ANK3,ALDH1A3,AGTRAP
ABI3BP,ACCS,ABHD17A,ADIPOR1,ADH1B,AKNA,ADIPOR2,ABCC3,AHSP,ADAM28,ACAP2,ALAS2,ABHD5,ABLIM1,ABCF3,ACTN4,ABLIM1,ABL2,ANO6,ABLIM3,ACCS,AGTRAP,ACTN1,ADAM28,ADAMTS9,AKAP13,ABHD5,ACTN4,ACTN4,ACTR2,ACTN4,AMFR,ACCS,AKIRIN2,ALAS2,AKAP13,AKNA,ALAS2,ADIPOR1,ANK1,ABLIM3,ABLIM3,ABHD5,ADD3,ABCC3,ACYP2,ADAMTS1,ACP2,ACTR2,ADH1B,ACOT11,ADD3,ADIPOR2,ACP2,ANKRD28,ACTN4,ACAP2,AHSP,ANKRD28,AKNA,ALAS2,ACYP1,AKAP13,ADIPOR2,ABLIM1,ANK3,ALDH1A3,ALAS2,ADAM28,ACTR3,ANK3,ABL2,ADGRG6,AKAP13,AKAP13,AKAP13,ALDH1A3,ACVR2A,ACTN1,ABCB4,ACVR2A,ABCC4,ADA2,ABI3,ACLY,ADD3,ACTN1,ABLIM3,ABHD5,ACACA,ACLY,ABHD5,ACRBP,ABCC13,ACSL4,ABL2,ABHD4,ACP1,ACTR2,ACTR2,ACAP2,ABLIM3,ACTN1,ABLIM1,ACTR3,ABLIM3,ADAMTS1,ADAMTS1,AKAP13,ACTN4,ABLIM1,AHSA2P,ACP5,ALAS2,ACAP1,AGTRAP,AGPAT1,ABCG1,ABCC5,AKNA,ADD3,ABHD10,ACAP1,ACTN1,ABLIM3,ADIPOR1,AKNA,ACAP1,ACAP2,ANKRD28,ABHD5,ACTR2,ABL2,AKNA,AGTRAP,AKAP13,ADAMTS1,ANK3,ANKRD28,ABTB1,ADA2,AHSP,AKIRIN2,ABCE1,ANO6,ACTN1,ADAMTS9,ABCC4,AGTRAP,ABCA3,ADIPOR1,ADIPOR1,AKAP13,ADA2,ACAP2,ADAM28,ABLIM1,ADAMTS9,AHSP,AHSP,ACAP2,AKNA,AKNA,ABLIM3,ACTR2,ABLIM3,ACRBP,ADIPOR1,ABHD14B,ANKRD28,ACLY,ANKRD36C,AMFR,AKAP13
ABL2,ACLY,ABHD3,ADPGK,ADIPOR1,ALAS2,AGPAT5,ABCC4,AKAP13,ADAMTS9,ACBD6,ANK1,ABI3,ABLIM3,ABCG1,ACTR2,ABLIM3,ABLIM1,ANP32B,ACAP2,ACLY,AKAP13,ACTN4,ADAMTS1,ADD3,AKNA,ABI3,ACTR2,ACTR2,ACTR3,ACTR2,ANGPT1,ACLY,AKNA,ALDH1A3,AKIRIN1,AKR7A2,ALDH1A3,ADIPOR2,ANKRD28,ACAP1,ACAD10,ABHD6,ADGRG6,ABCC4,ADAM28,ADD3,ACRBP,ACTR3,ADIPOR1,ACP2,ADGRG6,ADPGK,ACRBP,ANP32B,ACTR2,ACCS,AKAP13,ANKRD36C,ALAS2,ALOX5AP,ADAM28,AKNA,AFF1,ABLIM3,ANKRD36C,ANK3,ANK1,ADAMTS1,ACYP1,ANKRD28,ABLIM1,ADH1B,AKNA,AKNA,AKIRIN2,ALDH8A1,ADAMTS1,ACTN4,ABCB9,ADAMTS1,ABCC5,ADAM28,ABL2,ACP1,ADIPOR1,ACTN4,ABTB1,ABI3,ACADSB,ACRBP,ABHD6,ACSM2A,ABCC3,ACTC1,ABLIM1,ABHD5,ACRBP,ACTR3,ACTR3,ACER3,ACAP1,ACTN4,ABLIM3,ACVR2A,ACADM,ADD3,ADD3,AKIRIN1,ACTR2,ABLIM3,AHSP,ACRBP,ALDH1A1,ACAP2,AHR,AGPAT5,ABHD10,ABCD4,AKR7A2,ADGRG6,ABHD11,ACAP2,ACTN4,ACAP2,ADIPOR2,ALAS2,ACAP2,ACER3,ANO6,ABHD6,ACTR3,ABLIM1,AKR7A2,AHR,AKNA,ADAMTS9,ANKRD28,ANO6,ACAP2,ADAM10,AIM2,AKNA,ABHD17A,AP1S2,ACTN4,ADD3,ABCC5,AHSP,ABCA5,ADIPOR2,ADSL,AKNA,ADAM28,ACAT1,ADD3,ABLIM3,ADD3,AKAP13,AKAP13,ACAT1,ALAS2,ALAS2,ACAP1,ACTR3,ABTB1,ACSM2A,ADSL,ABHD15,ANKRD36C,ACP2,ANP32B,ANKRD28,AKNA
ABLIM1,ACOT11,ABHD5,ADSL,ADIPOR2,ANK1,AGR2,ABCC5,AKNA,ADD3,ACER3,ANKRD28,ABL2,ACAP1,ABHD11,ACTR3,ABTB2,ABLIM3,AP2S1,ACCS,ACRBP,AKNA,ACTR2,ADAMTS9,ADGRL4,ANK1,ABL2,ACTR3,ACTR3,ADA2,ACTR3,ANKRD28,ACP1,AMD1,ANK1,ALAS2,ANK1,ANK1,ADIRF,ANP32B,ACAP2,ACAP2,ABI3,ADH1B,ABCC5,ADD3,ADGRL4,ACSL4,ACYP1,AFF1,ACRBP,ADGRL4,ADSL,ACTN1,ANXA1,ACTR3,ACLY,AKNA,ANO6,AMBP,ANP32B,ADAMTS1,ANGPTL4,AGBL5,ACADM,ANO6,ANKRD28,ANKRD28,ADD3,ADA2,ANO6,ABLIM3,ADIPOR1,ALAS2,ALAS2,AKNA,ALKAL2,ADD3,ACTR2,ABCC1,ADD3,ABCD4,ADD3,ABLIM1,ACP2,ADIPOR2,ACTR2,ACAA2,ABL2,ACADVL,ACSL1,ABL2,ACSM2B,ABCC4,ACTN1,ABLIM3,ABI2,ACSL1,ACYP2,ACVR2B,ACLY,ACAP2,ACTR2,ACAP2,ACYP1,ACADVL,ADH1B,ADGRG6,AKIRIN2,ACTR3,ACACA,AK4,ACTN1,ANK1,ACAT1,AKAP13,AKAP13,ABHD11,ABCG1,ANK3,ADIPOR1,ABHD12,ACD,ACTR2,ACCS,ADIRF,ALDH1A1,ACER3,ACLY,ANP32B,ABI2,ADA2,ABLIM3,ALAS2,AKAP13,ALAS2,ADD3,ANKRD36C,ANP32B,ACAP3,ADAM28,AKAP13,AMFR,ABHD18,APLF,ACTR2,ADGRE2,ABCD4,AIDA,ABCA7,ADPGK,AGTRAP,ALOX5AP,ADAMTS1,ACRBP,ADGRG6,ACAP2,ADGRL4,AKNA,AKNA,ACER3,ALOX5AP,ALDH1A1,ACER3,ADD3,ACAA1,ACSM2B,AFF1,ABHD17A,ANO6,ACRBP,ANXA1,ANKRD9,ALKAL2
ABLIM3,ACP1,ABHD6,AFAP1L2,ADIRF,ANKRD28,AGTRAP,ABCD1,ALAS2,ADGRG6,ACLY,ANKRD36C,ABLIM1,ACAP2,ABHD12,ADA2,ACAP1,ACAP2,APP,ACLY,ACTC1,AKR7A2,ACTR3,ADD3,ADIPOR1,ANKRD28,ABLIM1,ADA2,ACYP2,ADAMTS9,ADAM28,ANO6,ACP2,ANK1,ANKRD28,ANK1,ANK3,ANKRD28,AFAP1L2,ANXA1,ACER3,ACAT1,ABL2,ADIPOR1,ABCD4,ADGRG6,ADIPOR1,ACTN1,ADA2,AGPAT5,ACTN1,ADIPOR1,AFAP1L2,ACTN4,ANXA13,ADAM28,ACOT11,ALKAL2,ANP32B,ANK1,ANXA1,ADD3,ANKRD28,AGL,ACAP2,ANP32B,ANP32B,ANP32B,ADGRG6,ADAM28,ANP32B,ABTB1,ADPGK,ALDH1A1,ANK1,ANK1,ALOX5,ADGRG6,ACTR3,ABCC11,ADH1B,ABCE1,ADGRG6,ABLIM3,ACRBP,ADIRF,ACTR3,ACADM,ABLIM1,ACAP1,ACSL3,ABLIM3,ACTN1,ABCC5,ACTN4,ACAP2,ABL2,ACSM2A,ADAM28,ADAM28,ACO2,ACLY,ACTR3,ACCS,ADAM10,ACAP1,ADIPOR1,ADIPOR1,AKNA,ACVR2B,ACAP2,AKAP13,ACTN4,ANK3,ACER3,ANGPTL4,AKIRIN1,ABHD12,ABHD11,ANKRD28,ADIPOR2,ABHD14B,ACER3,ACTR3,ACLY,ADPGK,ANK1,ACLY,ACOT11,ANXA1,ABI3,ADAM10,ACACA,ALDH1A3,AKNA,ALOX5AP,ADGRG1,ANP32B,ANXA1,ACLY,ADAMTS1,AKNA,ANKRD28,ABHD4,APP,ACTR3,ADGRG6,ABCE1,AKAP12,ABCA8,AFF1,AHSP,AMBP,ADD3,ACSF3,ADGRL4,ACLY,ADIPOR1,ALAS2,ALAS2,ACLY,ANK1,ALOX5AP,ACLY,ADGRG6,ACADM,ACTN1,AGPAT1,ABHD5,ANP32B,ACSL1,ANXA6,ANO6,ANK3
ACAP2,ACP2,ABI3,AGPAT5,ADPGK,ANO6,AHR,ABCD2,ALDH1A1,ADGRL4,ACO2,ANKRD37,ABLIM3,ACER3,ABHD13,ADAM28,ACAP2,ACLY,AQP10,ACP2,ACTN1,ALDH1A3,ACVR2B,ADGRL4,ADIPOR2,ANO6,ABLIM3,ADAM28,ADAM15,ADD3,ADD3,AP2S1,ACRBP,ANKRD28,ANO6,ANKRD28,ANKRD28,ANO6,AFF1,ANXA4,ACLY,ACCS,ABLIM1,ADIPOR2,ABCG1,ADIPOR1,ADIPOR2,ACTN4,ADAM15,AGTRAP,ACTN4,ADPGK,AFF1,ACTR2,ANXA6,ADAMTS9,ACP1,ANP32B,ANXA1,ANKRD28,ANXA6,ADGRE5,ANO6,AGPAT5,ACCS,ANXA1,ANXA1,ANXA1,ADH1B,ADD3,ANXA1,ACADM,ADSL,ALDH1A3,ANP32B,ANKRD28,ALOX5AP,ADGRL4,ACYP1,ABCC13,ADIPOR1,ABCG1,ADGRL4,ACADVL,ACTN1,AFF1,ACYP1,ACAP2,ABLIM3,ACAP2,ACSL4,ACAP2,ACTN4,ABCD1,ACTR2,ACCS,ABLIM1,ACSM2B,ADAMTS1,ADD3,ACOT11,ACOT2,ADAM28,ACER2,ADAM8,ACAP2,ADIPOR2,ADSL,ANGPTL4,ADA2,ACD,AKNA,ACTR2,ANKRD28,ACLY,ANKRD28,AKIRIN2,ABHD15,ABHD12,ANO6,ADIRF,ABHD17A,ACLY,ACYP1,ACO2,ADSL,ANK3,ACOT11,ACRBP,AP2S1,ABL2,ADAM15,ACAP1,ANP32B,ALAS2,ANK1,ADGRG6,ANXA1,ANXA4,ACOX1,ADD3,ALKAL2,ANO6,ABHD5,AQP10,ADAM28,ADIPOR1,ABCG1,AKAP13,ABCB1,AFG3L2,AKAP13,ANP32B,ADIPOR1,ACSM2B,ADIPOR1,ACOT11,ADIPOR2,ALDH1A1,ALDH1A1,ACOT11,ANK3,ANK3,ACO2,ADGRL4,ACAP2,ACTN4,AGPAT3,ABI3,ANXA1,ACSL4,AP2S1,ANP32B,ANKRD28
ACCS,ACRBP,ABL1,AGTPBP1,ADSL,ANP32B,AKAP13,ABCD3,ALDH1A3,ADIPOR1,ACOT2,ANP32B,ACAP1,ACLY,ABHD14B,ADD3,ACLY,ACOX1,ARF1,ACRBP,ACTN4,ANK3,ADAM15,ADIPOR1,ADPGK,ANXA1,ACAA2,ADAMTS2,ADAM28,ADGRE2,ADGRE2,APLF,ACSL1,ANO6,ANP32B,ANO6,ANKRD36C,ANP32B,AGPAT5,AP2S1,ACRBP,ACLY,ABLIM3,ADIRF,ABHD10,ADIPOR2,ADIRF,ACTR2,ADAM28,AHR,ACTR2,ADSL,AGTPBP1,ACTR3,AP2S1,ADD3,ACRBP,ANXA1,ANXA6,ANO6,APOBEC3A,ADGRG1,ANP32B,AHR,ACD,ANXA6,ANXA13,ANXA6,ADIPOR1,ADGRG6,ANXA6,ACAP2,AFF1,ALOX5AP,ANXA1,ANKRD36C,ANK1,ADH1B,ADAM28,ABCC3,ADIPOR2,ABHD11,ADIPOR1,ACAP2,ACTN4,AGPAT1,ADAMTS1,ACAT1,ACAP2,ACD,ACSM2A,ACLY,ACTR2,ABCF3,ACTR3,ACLY,ABLIM3,ACTC1,ADD3,ADGRG6,ACOT2,ACRBP,ADD3,ACLY,ADD3,ACLY,ADIRF,AFF1,ANKRD28,ADAT1,ACLY,ALAS2,ACTR3,ANO6,ACOT11,ANO6,AKNA,ABHD17A,ABHD14B,ANP32B,ADSL,ABHD3,ACOT11,ADAM10,ACOT11,AFAP1L2,ANP32B,ACP2,ACSL1,APLF,ABLIM1,ADAM28,ACAP2,ANXA1,ALDH1A1,ANO6,ADGRL4,ANXA6,ANXA6,ACP1,ADGRG6,ALOX5AP,ANP32B,ABI2,ARG2,ADAMTS1,AFF1,ABCG2,AKNA,ABCB10,AGPAT1,AKNA,ANXA1,ADIPOR2,ACTN1,ADIPOR2,ACOT2,ADPGK,ALDH1A3,ALG13,ACRBP,ANP32B,ANKRD36C,ACRBP,ADIPOR1,ACD,ACTR2,AGPAT5,ABLIM1,ANXA6,ACSM2A,AQP10,ANXA1,ANKRD36C
ACLY,ACSL1,ABL2,AGTRAP,AFF1,ANXA1,AKNA,ABCD4,ALOX5AP,ADIRF,ACRBP,ANXA1,ACAP2,ACOT2,ABHD15,ADH1B,ACOT11,ACP1,ARG2,ACSL1,ACTR2,ANKRD28,ADAM28,AFF1,AFF1,AP2S1,ACADM,ADD3,ADAMTS9,ADGRG6,ADGRE5,APP,ACSL4,ANP32B,ANXA1,ANXA1,ANO6,ANXA1,AGTRAP,AQP10,ACSF3,ACO2,ACADSB,ADNP,ABHD11,ADNP,ADSL,ACTR3,ADAMTS2,AHSP,ACTR3,AFF1,AGTRAP,ACYP2,APOLD1,ADGRG6,ACSL1,ANXA11,AP2S1,ANP32A,APOLD1,ADGRG6,ANXA1,AKAP13,ACLY,AP2S1,ANXA4,AP2S1,ADIPOR2,ADGRL4,AP2S1,ACCS,AGPAT5,ANGPTL4,AP2S1,ANO6,ANK3,ADI1,ADAMTS1,ABCC4,AFF1,ABHD12,ADIPOR2,ACCS,ACTR2,AGPAT5,ADD3,ACCS,ACD,ACER3,ACSM2B,ACOT11,ACTR3,ABCG1,ACVR2A,ACP1,ABRACL,ACTN1,ADGRE2,ADGRL4,ACP5,ACSL4,ADGRG3,ACOT7,ADGRE5,ACOT11,ADSL,AGBL5,ANO6,ADD3,ACOT11,ALDH1A1,ADA2,ANP32B,ACOT2,ANP32B,ANKRD28,ABHD18,ABHD17A,ANXA1,AFAP1L2,ABHD5,ACP2,ADAM15,ACP2,AFF1,ANXA1,ACRBP,ACSL3,APP,ABLIM3,ADAMTS9,ACER3,AP2S1,ALPL,ANP32B,ADH1B,AP2S1,AP1S2,ACRBP,ADIPOR1,ANKRD36C,ANXA1,ABI3,ARHGAP45,ADGRG6,AGPAT1,ABHD3,ALAS2,ABCB8,AGPAT5,ALG13,ANXA11,ADIRF,ACTN4,ADIRF,ACP2,ADSL,ANKRD36BP1,ALOX5AP,ACSL1,ANXA1,ANP32B,ACSL4,ADSL,ACER3,ACTR3,AGTPBP1,ABLIM3,AP2S1,ACSM2B,ARAP1,ANXA6,ANO6
